Style_ID,Category,Mood,Camera_Motion,Environmental_Dynamics,Video_Prompt
VID_DRN_001,Drone Aerial,Epic/Grand,High-Altitude Orbit,Cloud shadow drift,"Cinematic high-altitude drone orbit. Camera pitched down 45 degrees, executing a perfect, smooth circle. Massive 3D parallax between roofline and distant horizon. Soft, rolling cloud shadows move actively across the landscape."
VID_DRN_002,Drone Aerial,Dynamic Reveal,Low-to-High Pedestal,Tree canopy clearing,"FPV-style drone reveal. Start low in the foreground tree canopy, execute a rapid, smooth vertical ascent clearing the branches to reveal the estate. Deep parallax shift. Leaves rustle dynamically from downdraft."
VID_DRN_003,Drone Aerial,Calm Luxury,Forward Glide,Water surface reflection,"Low-altitude drone glide over water toward the rear facade. Camera moves perfectly level, 5 feet off the ground. The water surface ripples slightly, catching dynamic specular highlights from the sun."
VID_DRN_004,Drone Aerial,High-Energy,Dive to Level-Out,Perspective warp,"Aggressive drone dive. Start high above the roof, drop rapidly toward the backyard, and execute a buttery-smooth leveling out just above the patio. High kinetic energy, intense perspective shift, realistic edge blur."
VID_DRN_005,Drone Aerial,Moody/Twilight,Pull-Back Reveal,Cityscape blooming,"Slow, sweeping drone pull-back and rise. House is centered, but as camera pulls away, a deep, twinkling cityscape is revealed in the background. Twilight sky gradient transitions seamlessly."
VID_DRN_006,Drone Aerial,Exploration,Low Tracking,Grass blowing,"Drone tracking shot 3 feet above the lawn, moving laterally across the property facade. Long grass and landscaping plants bend and sway realistically in the wind. The house geometry remains perfectly rigid."
VID_DRN_007,Drone Aerial,Dramatic Scale,Vertical Drop,Waterfall/Pool dynamics,"Start looking straight down (top-down view) at the roof. Drone drops vertically down toward the backyard pool. The water ripples and reflects the sky dynamically as the camera approaches the surface."
VID_DRN_008,Drone Aerial,Heroic,Fly-Over,Roofline parallax,"Smooth, level forward flight directly over the peak of the roofline. As the drone crosses the ridge, the expansive backyard and distant landscape are dramatically revealed. Crisp, midday lighting."
VID_DRN_009,Drone Aerial,High-End,Reverse Arc,Sunburst,"Drone flies backward while slowly orbiting the exterior. As the building blocks the sun, a massive, photorealistic anamorphic lens flare bursts and fades dynamically across the lens."
VID_DRN_010,Drone Aerial,Cinematic,Spiral Descent,Shadow shifting,"Drone executes a slow, spiraling descent from 100 feet down to the driveway. Complex 3D spatial calculation; lighting and shadows shift realistically across the exterior walls as the angle changes."
VID_DRN_011,Drone Aerial,Property Boundary,High Tracking,Traffic/World life,"Wide drone tracking shot running parallel to the property line. In the distant background, realistic environmental motion (cars on a road, birds flying) adds kinetic life to the scene without distracting."
VID_DRN_012,Drone Aerial,Tension,Push Through Gap,Leaves brushing,"Drone pushes forward aggressively, threading the needle between two large foreground trees to reveal the house. The foreground branches blur and whip past the lens, creating intense speed and depth."
VID_DRN_013,Drone Aerial,Sunset Glamour,Low Angle Orbit,Golden hour flare,"Drone orbits the property at eye-level while pointing slightly up at the facade. Golden hour lighting hits the glass, creating moving, liquid-like reflections of the sunset sky."
VID_DRN_014,Drone Aerial,Winter/Cool,Slow Pull-Back,Fog rolling,"Drone slowly reverses away from a modern cabin or estate. Thick, volumetric fog or mist rolls realistically through the foreground trees, interacting with the 3D space."
